fileName,numberOfThreads,resultsAreCorrect,numberOfUsers,numberOfItems,numberOfFeatures,numberOfNonZeroElements,numberOfIterations,readInput,initialLR,loop,finalFiltering,total
../instances/inst1000-1000-100-2-30.in,1,0,1000,1000,100,15642,1000,0,0,10.839,0,10.839
../instances/inst1000-1000-100-2-30.in,2,0,1000,1000,100,15642,1000,0,0,8.9747,0,8.9747
../instances/inst1000-1000-100-2-30.in,4,0,1000,1000,100,15642,1000,0,0,9.1626,0,9.1626
../instances/inst1000-1000-100-2-30.in,8,0,1000,1000,100,15642,1000,0,0,11.2597,0,11.2597
../instances/inst500-500-20-2-100.in,1,0,500,500,20,25328,10000,0,0,27.9971,0,27.9971
../instances/inst500-500-20-2-100.in,2,0,500,500,20,25328,10000,0,0,35.7762,0,35.7762
../instances/inst500-500-20-2-100.in,4,0,500,500,20,25328,10000,0,0,30.4212,0,30.4212
../instances/inst500-500-20-2-100.in,8,0,500,500,20,25328,10000,0,0,33.0949,0,33.0949
../instances/inst200-10000-50-100-300.in,1,0,200,10000,50,39819,1000,0,0,21.1765,0,21.1765
../instances/inst200-10000-50-100-300.in,2,0,200,10000,50,39819,1000,0,0,18.5038,0,18.5038
../instances/inst200-10000-50-100-300.in,4,0,200,10000,50,39819,1000,0,0,16.3654,0,16.3654
../instances/inst200-10000-50-100-300.in,8,0,200,10000,50,39819,1000,0,0,13.7705,0,13.7705
